1girl,1人の女の子
bow_bra,ボウブラ
size_difference,サイズ差
style_parody,スタイルパロディ
akatsuki_(kancolle),暁_(艦これ)
red_hairband,赤いヘアバンド
rozen_maiden,ローゼンメイデン
the_king_of_fighters,キング・オブ・ファイターズ
tamamo_(fate),たまも（fate）
butterfly_hair_ornament,蝶の髪飾り
riding,乗馬
black_bodysuit,黒のボディスーツ
stuffed_bunny,ぬいぐるみのウサギ
ragnarok_online,ラグナロクオンライン
honkai_(series),本気_(シリーズ)
dark,暗い
bench,ベンチ
holding_poke_ball,ポケボールを持っている
air_bubble,気泡
hugging_own_legs,自分の足を抱きしめる
key,鍵
spaghetti_strap,スパゲッティストラップ
pilot_suit,パイロットスーツ
light,ライト
fire_emblem_fates,ファイアーエムブレムfate
touhou_(pc-98),東方_(PC-98)
sack,袋
selfie,自撮り
plugsuit,プラグスーツ
double-breasted,ダブルブレスト
inverted_nipples,陥没乳首
colored_inner_hair,色のついた髪の内側
bound_wrists,拘束された手首
brown_headwear,茶色の帽子
honkai_impact_3rd,本界インパクト3rd
lamp,ランプ
tiles,タイル
ice_wings,氷の翼
fate/extra_ccc,fate/エクストラ_ccc
tate_eboshi,tate_eboshi
shade,シェード
leaning_back,後ろに傾く
rabbit_girl,ウサギの女の子
classroom,教室
smile_precure!,スマイルプリキュア！
hand_to_own_mouth,自分の口に手を入れる
fate_testarossa,fate・テスタロッサ
cityscape,都市景観
bridal_veil,ブライダルベール
biting,噛む
asymmetrical_wings,非対称の翼
red_hakama,赤いはかま
purple_panties,紫色のパンティー
morichika_rinnosuke,もりちか_りんのすけ
bouncing_breasts,揺れる胸
bare_back,ベアバック
covering_crotch,股間を覆う
sarong,サロン
own_hands_clasped,自分の手を握りしめて
tasuki,襷
graphite_(medium),グラファイト（中）
highleg_swimsuit,ハイレグ水着
blue_pants,青いパンツ
polka_dot_background,水玉模様の背景
animal_costume,動物のコスチューム
space,空間
oil-paper_umbrella,油紙傘
naked_shirt,裸のシャツ
black_cape,ブラックケープ
one_piece,ワンピース
overalls,オーバーオール
cheerleader,チアリーダー
higurashi_no_naku_koro_ni,ひぐらしのなく頃に
center_frills,センターフリル
eyeliner,アイライナー
absurdly_long_hair,途方もなく長い髪
hair_over_eyes,髪の毛が目にかかっている
kono_subarashii_sekai_ni_shukufuku_wo!,この素晴らしい世界に宿福を！
candle,キャンドル
joints,関節
mini_crown,ミニクラウン
string,弦
korean_text,韓国語テキスト
haruna_(kancolle),haruna_(艦これ)
collared_dress,襟付きドレス
5boys,5人の男の子
holding_flower,花を持つ
assault_rifle,アサルトライフル
purple_nails,紫色の爪
armored_boots,装甲ブーツ
scales,スケール
snowflakes,雪の結晶
abigail_williams_(fate),アビゲイル・ウィリアムズ（fate）
pumpkin,パンプキン
hoshiguma_yuugi,hoshiguma_yugi
rebuild_of_evangelion,新世紀エヴァンゲリオン
nagato_(kancolle),長門（艦これ）
crescent_hair_ornament,三日月形の髪飾り
potted_plant,鉢植え
indian_style,インド風
toyosatomimi_no_miko,toyoSatomimi_no_miko
rigging,リギング
macross,マクロス
gangbang,輪姦
smug,得意げな
purple_shirt,紫色のシャツ
carrot,ニンジン
skeb_commission,スケブ依頼
alternate_eye_color,交互の目の色
shingeki_no_kyojin,shineki_no_kyojin
hibiscus,ハイビスカス
alternate_hair_color,別の髪の色
suzumiya_haruhi,涼宮ハルヒ
cable,ケーブル
nakano_azusa,中野あずさ
parasol,パラソル
leg_garter,レッグガーター
lolita_hairband,ロリータヘアバンド
scabbard,鞘
controller,コントローラ
toenail_polish,足の爪のマニキュア
blue_archive,ブルーアーカイブ
watercraft,水上バイク
laughing,笑い
fujimaru_ritsuka_(female),ふじまる_りつか_(女性)
drunk,酔っ払い
ass_focus,お尻フォーカス
pinafore_dress,エプロンドレス
cow_horns,牛の角
poke_ball_(basic),ポケボール（基本）
magic_circle,魔法陣
nagato_yuki,ナガト_ユキ
food-themed_hair_ornament,食べ物をテーマにした髪飾り
shrug_(clothing),肩をすくめる_(衣類)
bukkake,ぶっかけ
bracer,ブレイサー
bat,バット
bush,ブッシュ
holster,ホルスター
chromatic_aberration,色収差
furry_female,毛皮の女性
wedding_band,結婚指輪
danganronpa_2:_goodbye_despair,ダンガンロンパ2：さよなら絶望先生
bathing,入浴
tube_top,チューブトップ
hands_on_own_face,自分の顔に手を触れる
open_fly,オープンフライ
torii,鳥居
fairy,妖精
fur-trimmed_jacket,ファートリムジャケット
crossed_bangs,クロスした前髪
pulled_by_self,自分で引っ張る
xenoblade_chronicles_2,ゼノブレイド2
pom_pom_(cheerleading),pom_pom_(チアリーディング)
bags_under_eyes,目の下のクマ
paw_print,足跡
nosebleed,鼻血
wet_shirt,濡れたシャツ
food_in_mouth,口の中の食べ物
autumn_leaves,秋の葉
nun,尼僧
shanghai_doll,上海ドール
stud_earrings,スタッドイヤリング
sample,サンプル
red_kimono,赤い着物
dot_nose,ドットノーズ
japanese_armor,日本の鎧
kagiyama_hina,鍵山ひな
blue_bowtie,青い蝶ネクタイ
hirasawa_yui,平沢結
crescent_hat_ornament,三日月形の帽子飾り
star-shaped_pupils,星型の瞳孔
kyubey,キュゥべえ
large_penis,大きなペニス
pink_headwear,ピンクの帽子
magatama,勾玉
heart_of_string,心の琴線
red_panties,赤いパンツ
teapot,ティーポット
red_vest,赤いベスト
notice_lines,通知行
nipple_tweak,乳首つまみ
computer,コンピューター
facepaint,フェイスペイント
raccoon_ears,アライグマの耳
halloween_costume,ハロウィンコスチューム
gap_(touhou),隙間_(東方)
bath,バス
axe,斧
tohsaka_rin,tohsaka_rin
hand_on_another's_face,他人の顔に手を当てる
naruto,ナルト
lace-trimmed_panties,レーストリムのパンティー
ribbon_choker,リボンチョーカー
age_difference,年齢差
lace-trimmed_legwear,レーストリムのレッグウェア
garrison_cap,駐屯地キャップ
idolmaster_cinderella_girls_starlight_stage,アイドルマスターシンデレラガールズスターライトステージ
reaching_out,手を伸ばす
school_desk,学校の机
hamakaze_(kancolle),浜風（艦これ）
yellow_ascot,イエローアスコット
toeless_legwear,つま先なしレッグウェア
black_border,黒枠
happy_sex,ハッピーセックス
against_wall,壁に対して
watercolor_(medium),水彩画（中）
striped_background,ストライプの背景
wagashi,和菓子
raglan_sleeves,ラグランスリーブ
petite,小柄な
colorized,カラー化された
ooarai_school_uniform,大洗の制服
white_coat,白衣
princess_carry,プリンセスキャリー
rwby,RWBY
heart_censor,ハート検閲
stretch,ストレッチ
cross-laced_clothes,クロスレースの服
happy_new_year,あけましておめでとう
white_sweater,白いセーター
evil_smile,邪悪な笑顔
garters,ガーター
wriggle_nightbug,wriggle_nightbug
nero_claudius_(fate),nero_claudius_(fate)
blue_rose,ブルーローズ
nishizumi_miho,にしずみみほ
one_breast_out,片方の胸を出した
crown_braid,クラウンブレード
hair_censor,ヘアセンサー
giant,巨人
fire_emblem_awakening,ファイアーエムブレム覚醒
pink_kimono,ピンクの着物
mask_on_head,頭にマスクをかぶる
breast_pocket,胸ポケット
whisker_markings,ひげの模様
voiceroid,ボイスロイド
brown_dress,茶色のドレス
kashima_(kancolle),鹿島_(艦これ)
transparent,透明
heart_hands,ハート_手
slippers,スリッパ
ryuujou_(kancolle),ryuujou_(艦これ)
mononobe_no_futo,もののべのふと
side_bun,サイドバン
orgasm,オーガズム
tea,お茶
nier_(series),ニーア_(シリーズ)
blue_leotard,青いレオタード
yukkuri_shiteitte_ne,yukkuri_shiteite_ne
very_short_hair,非常に短い髪
lineart,線画
kicking,蹴る
red_choker,赤いチョーカー
star_print,スタープリント
onozuka_komachi,onozuka_komachi
torpedo,魚雷
draph,ドラフ
short_kimono,ショート着物
print_kimono,プリント着物
jeanne_d'arc_(alter)_(fate),ジャンヌ・ダルク（オルタ）（fate）
wet_hair,濡れた髪
confetti,紙吹雪
mouse_tail,マウスのしっぽ
wolf_girl,狼少女
asymmetrical_clothes,非対称の服
wine_glass,ワイングラス
tiger_&_bunny,タイガー＆バニー
daiyousei,大妖精
sailor_shirt,セーラーシャツ
bald,ハゲ
yellow_bikini,黄色のビキニ
foot_focus,足フォーカス
plaid_vest,チェック柄ベスト
greaves,すね当て
vampire,吸血鬼
takamachi_nanoha,takamachi_noha
link,リンク
haori,羽織
mermaid,マーメイド
sunbeam,サンビーム
pikachu,ピカチュウ
office_lady,オフィスレディ
fujimaru_ritsuka_(male),ふじまる_りつか_(男性)
multiple_persona,複数のペルソナ
artist_self-insert,アーティスト自身による挿入
pleated_dress,プリーツドレス
claw_pose,爪のポーズ
shiki_eiki,shiki_eiki
head_wreath,頭花輪
in_container,コンテナ内
nipple_piercing,乳首ピアス
string_panties,ストリングパンティー
navel_cutout,へそカットアウト
rem_(re:zero),rem_(リゼロ)
back_bow,バックボウ
misaka_mikoto,みさかみこと
scared,怖がった
tank,タンク
toramaru_shou,toramaru_shou
belly,腹
ranguage,言語
yellow_neckerchief,黄色のネッカチーフ
pigeon-toed,内股
imminent_kiss,差し迫ったキス
purple_gloves,紫色の手袋
aura,オーラ
o-ring_top,Oリングトップ
sideways_glance,横目で見る
dagger,短剣
hand_on_own_head,自分の頭に手を当てる
shibari,縛り
bikini_skirt,ビキニスカート
character_sheet,キャラクターシート
tsukihime,月姫
maple_leaf,メープルリーフ
halftone,ハーフトーン
symmetrical_docking,対称ドッキング
pantyhose_pull,パンスト引っ張り
tainaka_ritsu,tainaka_ritsu
bikini_under_clothes,ビキニの下
green_bikini,グリーンビキニ
mismatched_legwear,脚の不揃いなウェア
cum_on_clothes,服に射精
saki,咲
photo_(object),photo_(オブジェクト)
paw_gloves,足の手袋
bamboo,竹
paintbrush,絵筆
antlers,角
blue_bra,ブルーブラ
deep_skin,ディープスキン
white_outline,白のアウトライン
shirt_tucked_in,シャツをインした
open_kimono,オープン着物
polka_dot_bow,水玉模様のリボン
brown_belt,茶帯
anal_object_insertion,アナル異物挿入
company_name,会社名
tied_shirt,縛られたシャツ
layered_dress,レイヤードドレス
manly,男らしい
pokemon_dppt,ポケモン
wrist_scrunchie,リストシュシュ
hair_cones,ヘアコーン
checkered_floor,チェッカーフロア
houshou_(kancolle),鳳翔_(艦これ)
ore_no_imouto_ga_konna_ni_kawaii_wake_ga_nai,俺の妹がこんなに可愛いわけがない
fang_out,牙を抜く
image_sample,画像サンプル
bird_wings,鳥の羽
shimenawa,しめ縄
suzuya_(kancolle),鈴谷_(艦これ)
bang_dream!,バン！ドリーム！
over_shoulder,肩越し
danganronpa_v3:_killing_harmony,ダンガンロンパV3：キリングハーモニー
senki_zesshou_symphogear,戦姫絶唱シンフォギア
knee_pads,膝パッド
incest,近親相姦
wall,壁
explosion,爆発
yellow_skirt,黄色のスカート
arm_cannon,アームキャノン
field,分野
light_blue_hair,水色の髪
fake_horns,偽の角
gameplay_mechanics,ゲームプレイの仕組み
layered_sleeves,重ね着スリーブ
glowing_eye,光る目
lace-trimmed_bra,レーストリムブラ
dark_persona,ダークペルソナ
naked_towel,裸タオル
thumbs_up,いいぞ
vampire_(game),ヴァンパイア_(ゲーム)
holding_bag,バッグ
layered_skirt,レイヤードスカート
naked_apron,裸エプロン
artist_logo,アーティストロゴ
legwear_under_shorts,レッグウェア_アンダー_ショーツ
falling,落ちる
cum_in_ass,アナルに射精
habit,癖
usami_renko,うさみれんこ
hair_over_breasts,胸に髪がかかっている
red_shorts,レッドショートパンツ
pencil,鉛筆
nier_automata,ニーアオートマタ
hat_feather,帽子の羽根
singing,歌う
blood_on_clothes,衣服についた血
hip_vent,ヒップベント
highleg_bikini,ハイレグビキニ
randoseru,ランドセル
house,家
super_smash_bros.,スーパースマッシュブラザーズ。
ruins,遺跡
purple_jacket,紫色のジャケット
curled_horns,カールした角
inazuma_eleven_go,イナズマイレブンGO
animal_on_head,頭の上の動物
zipper_pull_tab,ジッパープルタブ
checkered_background,チェック柄の背景
huge_weapon,巨大な武器
mushroom,キノコ
mother_and_daughter,母と娘
crop_top_overhang,クロップトップのオーバーハング
squiggle,くねくねした線
0_0,0_0
bikini_armor,ビキニアーマー
one_knee,片膝
mega_man_(series),ロックマンシリーズ
w,わ
persona_3,ペルソナ3
leather,レザー
ayanami_rei,綾波レイ
shoulder_pads,肩パッド
black_collar,黒襟
monster_hunter_(series),モンスターハンター(シリーズ)
sandwiched,挟まれた
skirt_pull,スカートを引っ張る
sakazuki,盃
matoi_ryuuko,matoi_ Ryuuko
holding_tray,ホールディングトレイ
northern_ocean_princess,北海の王女
balloon,バルーン
raccoon_tail,アライグマのしっぽ
red_leotard,赤いレオタード
dog_girl,犬の女の子
mechanical_arms,機械式武器
holding_bottle,ボトルを持つ
idol,アイドル
shackles,束縛
shoulder_blades,肩甲骨
midriff_peek,お腹の覗き見
slingshot_swimsuit,スリングショット水着
spoken_exclamation_mark,感嘆符
murakumo_(kancolle),むらくも_(艦これ)
bare_pectorals,裸の胸筋
maribel_hearn,マリベル・ハーン
condom_wrapper,コンドームラッパー
bra_lift,ブラリフト
o-ring_bikini,Oリングビキニ
limited_palette,限定パレット
purple_headwear,紫色の帽子
sonoda_umi,sonoda_umi
architecture,建築
black_sweater,黒いセーター
out-of-frame_censoring,フレーム外検閲
scathach_(fate),スカサハ_(fate)
broom_riding,ほうきに乗る
voice_actor_connection,声優接続
spiked_bracelet,スパイクブレスレット
indie_virtual_youtuber,インディーバーチャルYouTuber
pixiv_fantasia,pixivファンタジア
strap,ストラップ
high_school_dxd,ハイスクールD×D
black_kimono,黒着物
under_covers,アンダーカバー
one-piece_tan,ワンピースタン
chinese_zodiac,十二支
star_earrings,星のイヤリング
clothes_around_waist,ウエスト周りの服
precum,先走り
backless_dress,背中が開いたドレス
television,テレビ
vines,ブドウの木
himekaidou_hatate,姫街道_はたて
engrish_text,英語テキスト
iron_cross,鉄十字
nishikino_maki,にしきのまき
low_wings,低翼
doughnut,ドーナツ
sad,悲しい
yellow_dress,黄色のドレス
erune,エルーン
arm_garter,アームガーター
holding_knife,ナイフを持っている
inkling,予感
3koma,3コマ
holding_fan,ホールディングファン
dragon_ball_z,ドラゴンボールZ
looking_afar,遠くを見る
sailor_senshi_uniform,セーラー戦士の制服
brown_shirt,茶色のシャツ
star_hat_ornament,星の帽子飾り
pink_theme,ピンクのテーマ
karakasa_obake,からかさ_おばけ
hachimaki,ハチマキ
holding_microphone,マイクを持つ
genderswap_(ftm),ジェンダースワップ（FTM）
starry_background,星空の背景
pov_hands,視点_手
camouflage,迷彩
yuru_yuri,ゆるゆり
striped_dress,ストライプドレス
feather_hair_ornament,羽根飾り
anchor_hair_ornament,アンカーの髪飾り
imaizumi_kagerou,imaizum_kagerou
bandaged_leg,包帯を巻いた脚
murasa_minamitsu,むらさ_みなみつ
cross_necklace,クロスネックレス
crescent_moon,三日月
chess_piece,チェスの駒
babydoll,ベビードール
open_hand,開いた手
serval_(kemono_friends),サーバル（けものフレンズ）
eyewear_removed,眼鏡を外しました
object_on_head,頭上の物体
orange_skirt,オレンジスカート
joseph_joestar,ジョセフ・ジョースター
male_underwear,男性用下着
shibuya_rin,shibuya_rin
arm_strap,アームストラップ
trigger_discipline,トリガー規律
old,古い
asymmetrical_docking,非対称ドッキング
hand_on_own_chin,自分のあごに手を当てる
producer_(idolmaster),プロデューサー（アイドルマスター）
annoyed,イライラ
stitches,ステッチ
wardrobe_malfunction,ワードローブの不具合
head_fins,頭ひれ
face-to-face,対面
shorts_under_skirt,スカートの下にショートパンツ
toujou_nozomi,東城のぞみ
pipe,パイプ
used_condom,使用済みコンドーム
shoukaku_(kancolle),翔鶴_(艦これ)
to_heart_2,トゥハート2
purple_theme,紫のテーマ
pokemon_bw2,ポケモンBW2
earphones,イヤホン
presenting,発表する
bread,パン
bakemonogatari,化物語
tight,きつい
splashing,水しぶき
kamen_rider,仮面ライダー
frilled_shirt,フリルシャツ
femdom,女性支配
amatsukaze_(kancolle),天津風_(艦これ)
tiger_print,虎プリント
fox_mask,キツネマスク
print_shirt,プリントシャツ
green_skin,グリーンスキン
fundoshi,ふんどし
yukikaze_(kancolle),雪風_(艦これ)
blue_vest,青いベスト
futon,布団
atago_(kancolle),愛宕(艦これ)
disposable_cup,使い捨てカップ
tokyo_afterschool_summoners,東京放課後サモナーズ
headphones_around_neck,首にかけるヘッドフォン
summer,夏
black_cat,黒猫
cutoffs,カットオフ
persona_5,ペルソナ5
kimetsu_no_yaiba,kimetsu_no_yaiba
yazawa_nico,yaざわ_にこ
1990s_(style),1990年代スタイル
kaku_seiga,かく_せいが
sound_effects,効果音
rice,米
long_sideburns,長いもみあげ
nagae_iku,nagae_iku
pink_jacket,ピンクのジャケット
striped_necktie,ストライプネクタイ
yin_yang,陰陽
bodystocking,ボディストッキング
tail_raised,尻尾を上げた
front_ponytail,フロントポニーテール
bedroom,寝室
cookie,クッキー
bikini_bottom,ビキニボトム
sake,酒
double_penetration,二重貫通
ayase_eli,あやせエリ
winter,冬
handheld_game_console,携帯型ゲーム機
otonokizaka_school_uniform,音ノ木坂の制服
sepia,セピア
dancing,ダンシング
furry_male,毛皮の男性
ganyu_(genshin_impact),甘雨_(原神)
frilled_panties,フリルパンティー
leaf_hair_ornament,葉っぱの髪飾り
cowbell,カウベル
public_indecency,公然わいせつ
bridge,橋
;o,;o
tamamo_no_mae_(fate/extra),玉藻の前(fate/エクストラ)
partially_colored,部分的に着色された
narrow_waist,ナローウエスト
d:,d:
breast_sucking,乳房吸引
okita_souji_(fate),沖田総司_(fate)
open_cardigan,オープンカーディガン
soaking_feet,足を浸す
big_hair,大きな髪
sweater_dress,セータードレス
hand_on_own_knee,自分の膝に手を当てる
senran_kagura,閃乱カグラ
breast_rest,胸当て
yorha_no._2_type_b,ヨルハ2号b型
kitakami_(kancolle),北上_(艦これ)
one-eyed,片目
no_pupils,生徒なし
tilted_headwear,傾いた帽子
ushio_(kancolle),ushio_(艦これ)
shoulder_tattoo,肩のタトゥー
mahou_shoujo_lyrical_nanoha_a's,魔法少女リリカルなのはAの
bobby_socks,ボビーソックス
danganronpa:_trigger_happy_havoc,ダンガンロンパ：トリガーハッピーハボック
bonnet,ボンネット
yellow_jacket,イエロージャケット
tile_floor,タイル床
error,エラー
peeing,おしっこ
sliding_doors,引き戸
badge,バッジ
!!,!!
hair_behind_ear,耳の後ろの髪
body_blush,ボディブラッシュ
single_shoe,シングルシューズ
rimless_eyewear,リムレスアイウェア
purple_footwear,紫色の靴
gilgamesh_(fate),ギルガメッシュ（fate）
half_gloves,ハーフグローブ
official_style,公式スタイル
bound_arms,縛られた腕
pee,おしっこ
vision_(genshin_impact),神の目(原神)
brick_wall,レンガの壁
giantess,巨人
kaito_(vocaloid),kaito_(ボーカロイド)
kumoi_ichirin,kumoi_ichirin
green_panties,緑のパンツ
tiptoes,つま先立ち
pink_rose,ピンクのバラ
arm_ribbon,腕リボン
lowleg_panties,ローレッグパンティー
white_rose,ホワイトローズ
platform_footwear,プラットフォームフットウェア
scroll,スクロール
cow_girl,カウガール
steaming_body,蒸し暑い体
casual_one-piece_swimsuit,カジュアルワンピース水着
green_nails,グリーンネイル
grey_dress,グレーのドレス
brothers,ブラザーズ
red_theme,赤テーマ
leg_grab,足を掴む
sleeve_cuffs,袖口
black_neckerchief,黒のネッカチーフ
feeding,給餌
female_admiral_(kancolle),女性提督（艦これ）
necktie_between_breasts,胸の間にネクタイ
rensouhou-chan,れんそうほうちゃん
watermelon,スイカ
beer,ビール
pants_pull,パンツを引っ張る
illyasviel_von_einzbern,イリヤスフィール・フォン・アインツベルン
arm_tattoo,腕のタトゥー
black_scarf,黒いスカーフ
perspective,視点
\m/,\m/
bikini_pull,ビキニプル
kotobuki_tsumugi,ことぶき_つむぎ
blue_neckerchief,青いネッカチーフ
constricted_pupils,収縮した瞳孔
downblouse,ダウンブラウス
kurodani_yamame,kurodani_yamame
dripping,滴る
macross_frontier,マクロスフロンティア
untied_bikini,縛られていないビキニ
hoshii_miki,ほしみき
handcuffs,手錠
holding_gift,贈り物を持っている
egg,卵
holding_fruit,果物を持っている
fur-trimmed_sleeves,ファートリムの袖
mini_top_hat,ミニトップハット
holding_hair,髪を握る
green_theme,緑のテーマ
pun,駄洒落
christmas_tree,クリスマスツリー
splatoon_1,スプラトゥーン_1
bathroom,バスルーム
bleach,漂白剤
ringed_eyes,目が丸い
tiger_ears,虎の耳
shoes_removed,靴が取り外されました
fringe_trim,フリンジトリム
planet,惑星
motorcycle,オートバイ
hata_no_kokoro,ハタノココロ
rainbow,虹
chalkboard,黒板
girl_sandwich,女の子のサンドイッチ
go-toubun_no_hanayome,go-toubun_no_hanayome
leaf_on_head,頭の上の葉
shoulder_cutout,肩のカットアウト
orange_shirt,オレンジシャツ
akebono_(kancolle),あけぼの_(艦これ)
beamed_eighth_notes,ビーム8分音符
ibaraki_kasen,ibaraki_kasen
white_eyes,白目
duel_monster,デュエルモンスター
aikatsu!_(series),アイカツ!_(シリーズ)
gundam_00,ガンダム00
jiangshi,キョンシー
leggings,レギンス
cherry,チェリー
matou_sakura,まとうさくら
frilled_bra,フリルブラ
novel_illustration,小説イラスト
3:,3:
short_over_long_sleeves,半袖オーバー長袖
little_busters!,リトルバスターズ！
sitting_on_lap,膝の上に座っている
pervert,変態
body_writing,本文
arm_guards,アームガード
white_cape,ホワイトケープ
queen's_blade,クイーンズブレイド
pointing_at_viewer,視聴者を指している
tifa_lockhart,ティファ・ロックハート
syringe,注射器
hammer,ハンマー
taut_shirt,ぴんと張ったシャツ
futa_with_female,女性とふたなり
pinky_out,ピンキーアウト
faulds,失敗
after_vaginal,膣後
spiked_collar,スパイクカラー
miyako_yoshika,みやこ_よしか
fate/kaleid_liner_prisma_illya,fate/カレイドライナー_プリズマ_イリヤ
houshou_marine,houshou_marine
wide_shot,ワイドショット
holding_polearm,ポールアームを持つ
ripples,波紋
police,警察
french_kiss,フレンチキス
trading_card,トレーディングカード
holding_animal,動物を飼っている
kafuu_chino,kafuu_chino
jeanne_d'arc_(fate/apocrypha),ジャンヌ・ダルク(fate/アポクリファ)
on_couch,ソファの上
kasodani_kyouko,kasodani_kyouko
kariginu,狩衣
sniper_rifle,スナイパーライフル
bubble_skirt,バブルスカート
monitor,モニター
skirt_removed,スカートを外した
dokidoki!_precure,ドキドキ!_プリキュア
forehead_jewel,額の宝石
bride,花嫁
soga_no_tojiko,soga_no_tojiko
ribs,肋骨
covered_eyes,目を覆う
blue_scarf,青いスカーフ
3d,3D
submachine_gun,サブマシンガン
fucked_silly,馬鹿げた
undercut,アンダーカット
invisible_chair,見えない椅子
head_scarf,ヘッドスカーフ
imminent_penetration,差し迫った侵入
horse,馬
track_suit,トラックスーツ
tatsuta_(kancolle),龍田_(艦これ)
scar_on_cheek,頬の傷
power_lines,電力線
axis_powers_hetalia,ヘタリア
punching,パンチ
merry_christmas,メリークリスマス
kujo_jotaro,九条丈太郎
clannad,クラナド
hooded_cloak,フード付きマント
brown_pants,茶色のパンツ
shouting,叫ぶ
joseph_joestar_(young),ジョセフ・ジョースター(若い)
navel_piercing,へそピアス
purple_skin,紫色の肌
princess_zelda,ゼルダ姫
dawn_(pokemon),夜明け_(ポケモン)
dappled_sunlight,斑点模様の太陽光
kotatsu,こたつ
yamato_(kancolle),やまと(艦これ)
red_ascot,レッドアスコット
afterimage,残像
chibi_inset,ちびインセット
hiiragi_kagami,柊かがみ
grey_footwear,グレーの靴
hammer_(sunset_beach),ハンマー（サンセットビーチ）
partially_unbuttoned,部分的にボタンを外した
warship_girls_r,軍艦少女r
holding_another's_wrist,他人の手首を握る
east_asian_architecture,東アジアの建築
cunnilingus,クンニリングス
aqua_nails,アクアネイル
black_hoodie,黒のパーカー
skin-covered_horns,皮で覆われた角
xd,xd
zzz,ズズズ
grey_pants,グレーのパンツ
lap_pillow,膝枕
thighlet,腿当て
pubic_tattoo,陰毛タトゥー
on_ground,地上
angel_beats!,エンジェルビーツ！
prinz_eugen_(kancolle),prinz_eugen_(艦これ)
plaid_shirt,チェックシャツ
self_fondle,自分を愛撫する
black_rock_shooter,ブラックロックシューター
bandaid_on_face,顔に絆創膏を貼る
vaginal_object_insertion,膣への異物挿入
horn_ribbon,ホーンリボン
hand_on_own_thigh,自分の太ももに手を当てる
fireworks,花火
cushion,クッション
to_love-ru,to loveる
heads_together,一緒に
stand_(jojo),スタンド_(ジョジョ)
scissors,はさみ
gawr_gura,gawr_gura
anniversary,周年
jaggy_line,ギザギザの線
split,スプリット
fur-trimmed_gloves,毛皮の縁取りの手袋
yellow_necktie,黄色のネクタイ
pointy_hair,尖った髪
stool,スツール
darjeeling_(girls_und_panzer),ダージリン（ガールズ＆パンツァー）
oversized_clothes,特大サイズの服
light_frown,軽くしかめっ面
mmf_threesome,mmf_三人組
sheet_grab,シートグラブ
bunny_hair_ornament,ウサギの髪飾り
huge_ahoge,巨大なアホ毛
cyborg,サイボーグ
white_capelet,白いケープレット
kijin_seija,キジンセイジャ
cu_chulainn_(fate),cu_chulainn_(fate)
heartcatch_precure!,ハートキャッチプリキュア！
time_paradox,タイムパラドックス
oversized_object,特大オブジェクト
two_tails,二つの尾
lamppost,街灯柱
marvel,驚異
breast_envy,胸の羨望
uwabaki,うわばき
trait_connection,特性接続
whip,ホイップ
white_bodysuit,白いボディスーツ
arm_under_breasts,胸の下の腕
facial_tattoo,顔のタトゥー
multiple_4koma,複数4コマ
heart_earrings,ハートのイヤリング
game_controller,ゲームコントローラー
mutsu_(kancolle),陸奥(艦これ)
danmaku,弾幕
yellow_bowtie,黄色の蝶ネクタイ
atelier_(series),アトリエ_(シリーズ)
female_pervert,女性の変態
blank_eyes,空白の目
pillow_hug,枕ハグ
colored_pencil_(medium),色鉛筆（中）
sleeveless_turtleneck,ノースリーブタートルネック
nightgown,ナイトガウン
bathtub,バスタブ
blue_hairband,青いヘアバンド
water_bottle,水筒
torn_shirt,破れたシャツ
cooking,料理
tengu-geta,天狗下駄
bruise,打撲
birthday,誕生日
meiko,メイコ
sleepy,眠い
animalization,動物化
:/,:/
megami_magazine,メガミマガジン
spoken_musical_note,音声音符
fat,脂肪
blue_choker,青いチョーカー
multicolored_background,多色の背景
broken,壊れた
argyle_legwear,アーガイルレッグウェア
playing_card,トランプ
old_man,老人
superhero,スーパーヒーロー
saucer,受け皿
grapes,ブドウ
haruyama_kazunori,はるやまかずのり
coffee,コーヒー
jester_cap,道化師の帽子
minami_kotori,南ことり
nishizumi_maho,にしずみまほ
archer_(fate),アーチャー_(fate)
new_super_mario_bros._u_deluxe,新しいスーパーマリオブラザーズ_u_デラックス
striped_bowtie,ストライプの蝶ネクタイ
mechanical_halo,機械的なハロー
waistcoat,チョッキ
huge_ass,巨大なお尻
x-ray,X線
mahou_shoujo_madoka_magica_movie,mahou_shoujo_madoka_magica_movie
latex,ラテックス
dirty,汚い
white_choker,白チョーカー
amami_haruka,天海はるか
red_skin,赤い肌
long_coat,ロングコート
torogao,トロガオ
ooi_(kancolle),ooi_(艦これ)
folded,折り畳まれた
super_crown,スーパークラウン
brown_sweater,茶色のセーター
kaban_(kemono_friends),かばん（けものフレンズ）
doll_joints,人形の関節
paper_fan,紙扇子
m_legs,m_legs
skeleton,スケルトン
grey_skin,グレースキン
suggestive_fluid,示唆的な流体
aki_minoriko,aki_minoriko
shoe_soles,靴底
frilled_bow,フリルボウ
itsumi_erika,いつみ・えりか
implied_sex,暗黙の性別
no_eyes,目がない
undershirt,アンダーシャツ
lillie_(pokemon),リーリエ（ポケモン）
ooyodo_(kancolle),ooyodo_(艦これ)
reclining,リクライニング
darling_in_the_franxx,ダーリン・イン・ザ・フランクス
playing_instrument,演奏楽器
fat_mons,ファットモンス
take_your_pick,お選びください
shell,シェル
green_vest,グリーンベスト
serval_print,サーバルプリント
no_socks,靴下なし
plaid_scarf,チェック柄スカーフ
castle,城
river,川
print_panties,プリントパンツ
